date,feeder_cam_id,coordinates,time_opened,time_closed,sucrose_solution
2019-08-21,2,"52.455709, 13.294238",2019-08-21T14:35:00.000000Z,2019-08-21T15:45:00.000000Z,varying
2019-08-21,1,"52.457711, 13.299308",2019-08-21T14:35:00.000000Z,2019-08-21T15:45:00.000000Z,varying
2019-08-22,1,,2019-08-22T12:35:00.000000Z,2019-08-22T13:35:00.000000Z,varying
2019-08-22,2,,2019-08-22T12:35:00.000000Z,2019-08-22T13:35:00.000000Z,varying
2019-08-23,1,,2019-08-23T13:13:00.000000Z,2019-08-23T14:27:00.000000Z,varying
2019-08-23,2,,2019-08-23T13:13:00.000000Z,2019-08-23T14:27:00.000000Z,varying
2019-08-25,1,,2019-08-25T11:25:00.000000Z,2019-08-25T14:41:00.000000Z,0.5:1
2019-08-25,2,,2019-08-25T11:32:00.000000Z,2019-08-25T14:48:00.000000Z,0.5:1
2019-08-26,1,,2019-08-26T14:44:00.000000Z,2019-08-26T16:07:00.000000Z,0.5:1
2019-08-26,2,,2019-08-26T14:44:00.000000Z,2019-08-26T16:15:00.000000Z,0.5:1
2019-08-27,1,,2019-08-27T09:58:00.000000Z,2019-08-27T15:46:00.000000Z,1:1
2019-08-27,2,,2019-08-27T09:58:00.000000Z,2019-08-27T14:42:00.000000Z,1:1
2019-08-28,1,,2019-08-28T10:02:00.000000Z,2019-08-28T11:10:00.000000Z,3:2
2019-08-28,2,,2019-08-28T10:02:00.000000Z,2019-08-28T11:10:00.000000Z,3:2
2019-08-28,1,,2019-08-28T14:16:00.000000Z,2019-08-28T16:10:00.000000Z,3:2
2019-08-28,2,,2019-08-28T14:17:00.000000Z,2019-08-28T16:12:00.000000Z,3:2
2019-08-29,1,,2019-08-29T09:26:00.000000Z,2019-08-29T11:20:00.000000Z,3:2
2019-08-29,1,,2019-08-29T13:27:00.000000Z,2019-08-29T15:30:00.000000Z,3:2
2019-08-29,2,,2019-08-29T13:27:00.000000Z,2019-08-29T15:30:00.000000Z,3:2
2019-08-30,1,,2019-08-30T09:12:00.000000Z,2019-08-30T15:14:00.000000Z,0:1
2019-08-30,2,,2019-08-30T09:13:00.000000Z,2019-08-30T15:18:00.000000Z,0:1
2019-08-30,3,"52.456842, 13.293059",2019-08-30T09:21:00.000000Z,2019-08-30T15:15:00.000000Z,3:2
2019-09-02,1,,2019-09-02T10:34:00.000000Z,2019-09-02T13:56:00.000000Z,3:2
2019-09-02,2,,2019-09-02T10:34:00.000000Z,2019-09-02T13:55:00.000000Z,3:2
2019-09-03,1,,2019-09-03T14:15:00.000000Z,2019-09-03T15:04:00.000000Z,3:2
2019-09-03,2,,2019-09-03T14:15:00.000000Z,2019-09-03T16:01:00.000000Z,3:2
2019-09-04,1,,2019-09-04T11:16:00.000000Z,2019-09-04T16:17:00.000000Z,0:1
2019-09-04,2,,2019-09-04T11:16:00.000000Z,2019-09-04T16:17:00.000000Z,0:1
2019-09-04,3,"52.455033, 13.295271",2019-09-04T11:37:00.000000Z,2019-09-04T16:05:00.000000Z,3:2
2019-09-05,1,,2019-09-05T13:22:00.000000Z,2019-09-05T15:04:00.000000Z,3:2
2019-09-05,2,,2019-09-05T13:22:00.000000Z,2019-09-05T15:26:00.000000Z,3:2
2019-09-06,1,,2019-09-06T09:46:00.000000Z,2019-09-06T13:52:00.000000Z,0:1
2019-09-06,2,,2019-09-06T09:46:00.000000Z,2019-09-06T13:51:00.000000Z,0:1
2019-09-06,3,"52.456638, 13.299240",2019-09-06T10:07:00.000000Z,2019-09-06T13:39:00.000000Z,3:2
2019-09-10,1,,2019-09-10T15:33:00.000000Z,2019-09-10T16:13:00.000000Z,3:2
2019-09-10,2,,2019-09-10T15:33:00.000000Z,2019-09-10T16:13:00.000000Z,3:2
2019-09-11,1,,2019-09-11T09:05:00.000000Z,2019-09-11T10:19:00.000000Z,3:2
2019-09-11,2,,2019-09-11T09:05:00.000000Z,2019-09-11T10:19:00.000000Z,3:2
2019-09-11,1,,2019-09-11T14:21:00.000000Z,2019-09-11T15:39:00.000000Z,3:2
2019-09-11,2,,2019-09-11T14:21:00.000000Z,2019-09-11T15:39:00.000000Z,3:2
2019-09-12,1,,2019-09-12T09:14:00.000000Z,2019-09-12T15:46:00.000000Z,0:1
2019-09-12,2,,2019-09-12T09:14:00.000000Z,2019-09-12T15:46:00.000000Z,0:1
2019-09-12,3,"52.457889, 13.297938",2019-09-12T09:24:00.000000Z,2019-09-12T15:35:00.000000Z,3:2
2019-09-15,1,,2019-09-15T13:34:00.000000Z,2019-09-15T16:11:00.000000Z,0:1
2019-09-15,2,,2019-09-15T13:42:00.000000Z,2019-09-15T16:15:00.000000Z,0:1
2019-09-15,3,"52.456394, 13.291039",2019-09-15T13:50:00.000000Z,2019-09-15T16:11:00.000000Z,3:2
